🎯 ALL 430 PERIPHERAL ACCESSES - COMPLETE LIST
=============================================================

📋 PART 1: BOARD_InitHardware() - 124 accesses
63. CLOCK_GetClockOutClkFreq read CLKCTL0 REG_0x332 0x4000114C fsl_clock.c:2302
64. CLOCK_GetClockOutClkFreq read CLKCTL0 REG_0x336 0x40001150 fsl_clock.c:2326
65. CLOCK_GetWdtClkFreq read CLKCTL0 REG_0x232 0x400010E8 fsl_clock.c:2067
66. CLOCK_GetWdtClkFreq read CLKCTL0 REG_0x232 0x400010E8 fsl_clock.c:2069
67. CLOCK_GetWdtClkFreq read CLKCTL0 REG_0x240 0x400010F0 fsl_clock.c:2082
68. CLOCK_GetWdtClkFreq read CLKCTL0 REG_0x240 0x400010F0 fsl_clock.c:2084
69. CLOCK_GetXspiClkFreq read CLKCTL0 REG_0x184 0x400010B8 fsl_clock.c:1909
70. CLOCK_GetXspiClkFreq read CLKCTL0 REG_0x184 0x400010B8 fsl_clock.c:1911
71. CLOCK_GetXspiClkFreq read CLKCTL0 REG_0x188 0x400010BC fsl_clock.c:1929
72. CLOCK_GetXspiClkFreq read CLKCTL0 REG_0x196 0x400010C4 fsl_clock.c:1938
73. CLOCK_GetXspiClkFreq read CLKCTL0 REG_0x196 0x400010C4 fsl_clock.c:1940
74. CLOCK_GetXspiClkFreq read CLKCTL0 REG_0x200 0x400010C8 fsl_clock.c:1958
75. CLOCK_GetSctClkFreq read CLKCTL0 REG_0x208 0x400010D0 fsl_clock.c:2009
76. CLOCK_GetSctClkFreq read CLKCTL0 REG_0x208 0x400010D0 fsl_clock.c:2011
77. CLOCK_GetSctClkFreq read CLKCTL0 REG_0x212 0x400010D4 fsl_clock.c:2030
78. CLOCK_GetHifi4ClkFreq read CLKCTL0 REG_0x148 0x40001094 fsl_clock.c:1337
79. CLOCK_GetHifi4ClkFreq read CLKCTL0 REG_0x148 0x40001094 fsl_clock.c:1339
80. CLOCK_GetHifi4ClkFreq read CLKCTL0 REG_0x144 0x40001090 fsl_clock.c:1363
81. CLOCK_GetLPFlexCommClkFre read CLKCTL0 REG_0x262 0x40001106 fsl_clock.c:1697
82. CLOCK_GetMclkInClkFreq read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.h:2355
83. CLOCK_GetSystickClkFreq read CLKCTL0 REG_0x248 0x400010F8 fsl_clock.c:2107
84. CLOCK_GetSystickClkFreq read CLKCTL0 REG_0x248 0x400010F8 fsl_clock.c:2109
85. CLOCK_GetSystickClkFreq read CLKCTL0 REG_0x252 0x400010FC fsl_clock.c:2128
86. CLOCK_GetI3cClkFreq read CLKCTL0 REG_0x308 0x40001134 fsl_clock.c:2168
87. CLOCK_GetI3cClkFreq read CLKCTL0 REG_0x308 0x40001134 fsl_clock.c:2170
88. CLOCK_GetI3cClkFreq read CLKCTL0 REG_0x324 0x40001144 fsl_clock.c:2194
89. CLOCK_CalFroFreq read CLKCTL1 PSCCTL2 0x40003008 fsl_clock.c:599
90. CLOCK_CalFroFreq read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:605
91. CLOCK_CalFroFreq read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:607
92. CLOCK_CalFroFreq read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:609
93. CLOCK_CalFroFreq read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:611
94. CLOCK_CalFroFreq read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:612
95. CLOCK_CalFroFreq read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:613
96. CLOCK_GetFroFlags read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:666
97. CLOCK_GetXtalInClkFreq read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.h:2186
98. CLOCK_DisableFro write SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:858
99. CLOCK_DisableFro write CLKCTL1 PSCCTL4 0x40003010 fsl_clock.c:862
100. CLOCK_GetOsc32KFreq read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:1090
101. CLOCK_GetComputeBaseClkFr read CLKCTL0 PSCCTL2_CLR 0x40001078 fsl_clock.c:1148
102. CLOCK_GetComputeDspBaseCl read CLKCTL0 PSCCTL3_CLR 0x4000107C fsl_clock.c:1176
103. CLOCK_GetVdd2ComBaseClkFr read CLKCTL0 PSCCTL4_CLR 0x40001080 fsl_clock.c:1204
104. CLOCK_GetComputeAudioClkF read CLKCTL0 REG_0x344 0x40001158 fsl_clock.c:1230
105. CLOCK_GetSenseAudioClkFre read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:1254
106. CLOCK_GetFCClkFreq read CLKCTL0 REG_0x260 0x40001104 fsl_clock.c:1267
107. CLOCK_GetFCClkFreq read CLKCTL0 REG_0x260 0x40001104 fsl_clock.c:1268
108. CLOCK_GetFCClkFreq read CLKCTL0 REG_0x261 0x40001105 fsl_clock.c:1269
109. CLOCK_GetSysOscFreq read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.h:2347
110. CLOCK_GetUtickClkFreq read CLKCTL0 REG_0x220 0x400010DC fsl_clock.c:2037
111. CLOCK_GetUtickClkFreq read CLKCTL0 REG_0x220 0x400010DC fsl_clock.c:2039
112. CLOCK_GetUtickClkFreq read CLKCTL0 REG_0x224 0x400010E0 fsl_clock.c:2058
113. CLOCK_GetCTimerClkFreq read CLKCTL0 REG_0x288 0x40001120 fsl_clock.c:2135
114. CLOCK_GetCTimerClkFreq read CLKCTL0 REG_0x288 0x40001120 fsl_clock.c:2137
115. CLOCK_GetCTimerClkFreq read CLKCTL0 REG_0x280 0x40001118 fsl_clock.c:2161
116. CLOCK_GetTrngClkFreq read CLKCTL0 REG_0x296 0x40001128 fsl_clock.c:2201
117. CLOCK_GetTrngClkFreq read CLKCTL0 REG_0x296 0x40001128 fsl_clock.c:2203
118. CLOCK_GetTrngClkFreq read CLKCTL0 REG_0x300 0x4000112C fsl_clock.c:2227
119. CLOCK_GetTpiuClkFreq read CLKCTL0 REG_0x172 0x400010AC fsl_clock.c:2234
120. CLOCK_GetTpiuClkFreq read CLKCTL0 REG_0x172 0x400010AC fsl_clock.c:2236
121. CLOCK_GetTpiuClkFreq read CLKCTL0 REG_0x176 0x400010B0 fsl_clock.c:2260
122. CLOCK_GetSaiClkFreq read CLKCTL0 REG_0x268 0x4000110C fsl_clock.c:2267
123. CLOCK_GetSaiClkFreq read CLKCTL0 REG_0x268 0x4000110C fsl_clock.c:2269
124. CLOCK_GetSaiClkFreq read CLKCTL0 REG_0x272 0x40001110 fsl_clock.c:2293

📋 PART 2: xspi_hyper_ram_init() - 306 accesses
-------------------------------------------------------------
125. XSPI_Init read XSPI2 MCR 0x40411000 fsl_xspi.c:460
126. XSPI_Init write XSPI2 MCR 0x40411000 fsl_xspi.c:463
127. XSPI_Init read XSPI2 MCR 0x40411000 fsl_xspi.c:468
128. XSPI_Init write XSPI2 MCR 0x40411000 fsl_xspi.c:468
129. XSPI_UpdateLUT write XSPI2 MCR 0x40411000 fsl_xspi.c:577
130. XSPI_UpdateLUT write XSPI2 MCR 0x40411000 fsl_xspi.c:578
131. XSPI_UpdateLUT write XSPI2 MCR 0x40411000 fsl_xspi.c:583
132. XSPI_UpdateLUT write XSPI2 MCR 0x40411000 fsl_xspi.c:587
133. XSPI_UpdateLUT write XSPI2 MCR 0x40411000 fsl_xspi.c:588
134. XSPI_CheckAndClearError write XSPI2 MCR 0x40411000 fsl_xspi.c:379
135. XSPI_CheckAndClearError write XSPI2 MCR 0x40411000 fsl_xspi.c:387
136. XSPI_CheckAndClearError write XSPI2 MCR 0x40411000 fsl_xspi.c:391
137. XSPI_CheckAndClearError read XSPI2 MCR 0x40411000 fsl_xspi.c:398
138. XSPI_CheckAndClearError write XSPI2 MCR 0x40411000 fsl_xspi.c:398
139. XSPI_CheckAndClearError read XSPI2 MCR 0x40411000 fsl_xspi.c:407
140. XSPI_CheckAndClearError write XSPI2 MCR 0x40411000 fsl_xspi.c:407
141. XSPI_CheckAndClearError read XSPI2 MCR 0x40411000 fsl_xspi.c:411
142. XSPI_CheckAndClearError write XSPI2 MCR 0x40411000 fsl_xspi.c:411
143. XSPI_CheckAndClearError read XSPI2 MCR 0x40411000 fsl_xspi.c:420
144. XSPI_CheckAndClearError write XSPI2 MCR 0x40411000 fsl_xspi.c:420
145. XSPI_CheckAndClearError read XSPI2 MCR 0x40411000 fsl_xspi.c:421
146. XSPI_CheckAndClearError write XSPI2 MCR 0x40411000 fsl_xspi.c:421
147. XSPI_EnableModule read XSPI2 MCR 0x40411000 fsl_xspi.h:1123
148. XSPI_EnableModule write XSPI2 MCR 0x40411000 fsl_xspi.h:1123
149. XSPI_EnableModule read XSPI2 MCR 0x40411000 fsl_xspi.h:1127
150. XSPI_EnableModule write XSPI2 MCR 0x40411000 fsl_xspi.h:1127
151. XSPI_ClearAhbBuffer read XSPI2 MCR 0x40411000 fsl_xspi.h:2150
152. XSPI_ClearAhbBuffer write XSPI2 MCR 0x40411000 fsl_xspi.h:2150
153. XSPI_ClearAhbBuffer read XSPI2 MCR 0x40411000 fsl_xspi.h:2151
154. XSPI_ClearTxBuffer read XSPI2 MCR 0x40411000 fsl_xspi.h:1650
155. XSPI_ClearTxBuffer write XSPI2 MCR 0x40411000 fsl_xspi.h:1650
156. XSPI_ClearRxBuffer read XSPI2 MCR 0x40411000 fsl_xspi.h:1702
157. XSPI_ClearRxBuffer write XSPI2 MCR 0x40411000 fsl_xspi.h:1702
158. XSPI_EnableDozeMode read XSPI2 MCR 0x40411000 fsl_xspi.h:1252
159. XSPI_EnableDozeMode write XSPI2 MCR 0x40411000 fsl_xspi.h:1252
160. XSPI_EnableDozeMode read XSPI2 MCR 0x40411000 fsl_xspi.h:1256
161. XSPI_EnableDozeMode write XSPI2 MCR 0x40411000 fsl_xspi.h:1256
162. XSPI_SetAhbAccessConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:2756
163. XSPI_SetAhbAccessConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:2756
164. XSPI_SetAhbAccessConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:2766
165. XSPI_SetAhbAccessConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:2766
166. XSPI_GetBusIdleStatus read XSPI2 MCR 0x40411000 fsl_xspi.h:1565
167. XSPI_ResetSfmAndAhbDomain read XSPI2 MCR 0x40411000 fsl_xspi.c:606
168. XSPI_ResetSfmAndAhbDomain write XSPI2 MCR 0x40411000 fsl_xspi.c:606
169. XSPI_ResetSfmAndAhbDomain read XSPI2 MCR 0x40411000 fsl_xspi.c:613
170. XSPI_ResetSfmAndAhbDomain write XSPI2 MCR 0x40411000 fsl_xspi.c:613
171. XSPI_SetHyperBusX16Mode read XSPI2 MCR 0x40411000 fsl_xspi.c:641
172. XSPI_SetHyperBusX16Mode write XSPI2 MCR 0x40411000 fsl_xspi.c:641
173. XSPI_CheckModuleEnabled read XSPI2 MCR 0x40411000 fsl_xspi.h:1141
174. XSPI_UpdateDllValue read XSPI2 MCR 0x40411000 fsl_xspi.c:679
175. XSPI_UpdateDllValue write XSPI2 MCR 0x40411000 fsl_xspi.c:679
176. XSPI_UpdateDllValue read XSPI2 MCR 0x40411000 fsl_xspi.c:680
177. XSPI_UpdateDllValue write XSPI2 MCR 0x40411000 fsl_xspi.c:680
178. XSPI_UpdateDllValue read XSPI2 MCR 0x40411000 fsl_xspi.c:681
179. XSPI_UpdateDllValue write XSPI2 MCR 0x40411000 fsl_xspi.c:681
180. XSPI_UpdateDllValue read XSPI2 MCR 0x40411000 fsl_xspi.c:699
181. XSPI_UpdateDllValue write XSPI2 MCR 0x40411000 fsl_xspi.c:699
182. XSPI_UpdateDllValue read XSPI2 MCR 0x40411000 fsl_xspi.c:703
183. XSPI_UpdateDllValue write XSPI2 MCR 0x40411000 fsl_xspi.c:703
184. XSPI_UpdateDllValue read XSPI2 MCR 0x40411000 fsl_xspi.c:705
185. XSPI_UpdateDllValue write XSPI2 MCR 0x40411000 fsl_xspi.c:705
186. XSPI_UpdateDllValue read XSPI2 MCR 0x40411000 fsl_xspi.c:709
187. XSPI_UpdateDllValue write XSPI2 MCR 0x40411000 fsl_xspi.c:709
188. XSPI_UpdateDllValue read XSPI2 MCR 0x40411000 fsl_xspi.c:711
189. XSPI_UpdateDllValue read XSPI2 MCR 0x40411000 fsl_xspi.c:714
190. XSPI_UpdateDllValue write XSPI2 MCR 0x40411000 fsl_xspi.c:714
191. XSPI_UpdateDllValue read XSPI2 MCR 0x40411000 fsl_xspi.c:742
192. XSPI_UpdateDllValue write XSPI2 MCR 0x40411000 fsl_xspi.c:742
193. XSPI_UpdateDllValue read XSPI2 MCR 0x40411000 fsl_xspi.c:746
194. XSPI_UpdateDllValue write XSPI2 MCR 0x40411000 fsl_xspi.c:746
195. XSPI_UpdateDllValue read XSPI2 MCR 0x40411000 fsl_xspi.c:748
196. XSPI_UpdateDllValue write XSPI2 MCR 0x40411000 fsl_xspi.c:748
197. XSPI_UpdateDllValue read XSPI2 MCR 0x40411000 fsl_xspi.c:752
198. XSPI_UpdateDllValue write XSPI2 MCR 0x40411000 fsl_xspi.c:752
199. XSPI_UpdateDllValue read XSPI2 MCR 0x40411000 fsl_xspi.c:753
200. XSPI_UpdateDllValue write XSPI2 MCR 0x40411000 fsl_xspi.c:753
201. XSPI_UpdateDllValue read XSPI2 MCR 0x40411000 fsl_xspi.c:754
202. XSPI_UpdateDllValue write XSPI2 MCR 0x40411000 fsl_xspi.c:754
203. XSPI_UpdateDllValue read XSPI2 MCR 0x40411000 fsl_xspi.c:755
204. XSPI_SetDataLearningConfi read XSPI2 MCR 0x40411000 fsl_xspi.c:791
205. XSPI_SetDataLearningConfi write XSPI2 MCR 0x40411000 fsl_xspi.c:791
206. XSPI_SetDataLearningConfi write XSPI2 MCR 0x40411000 fsl_xspi.c:795
207. XSPI_CheckAhbReadAccessAs read XSPI2 MCR 0x40411000 fsl_xspi.h:1578
208. XSPI_CheckIPAccessAsserte read XSPI2 MCR 0x40411000 fsl_xspi.h:1895
209. XSPI_CheckAhbWriteAccessA read XSPI2 MCR 0x40411000 fsl_xspi.h:1591
210. XSPI_UpdateDeviceAddrMode read XSPI2 MCR 0x40411000 fsl_xspi.c:831
211. XSPI_UpdateDeviceAddrMode write XSPI2 MCR 0x40411000 fsl_xspi.c:830
212. XSPI_UpdateDeviceAddrMode read XSPI2 MCR 0x40411000 fsl_xspi.c:835
213. XSPI_UpdateDeviceAddrMode write XSPI2 MCR 0x40411000 fsl_xspi.c:835
214. XSPI_UpdateDeviceAddrMode read XSPI2 MCR 0x40411000 fsl_xspi.c:836
215. XSPI_UpdateDeviceAddrMode write XSPI2 MCR 0x40411000 fsl_xspi.c:836
216. XSPI_SetDeviceConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:890
217. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:890
218. XSPI_SetDeviceConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:894
219. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:894
220. XSPI_SetDeviceConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:901
221. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:901
222. XSPI_SetDeviceConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:902
223. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:902
224. XSPI_SetDeviceConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:907
225. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:907
226. XSPI_SetDeviceConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:914
227. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:914
228. XSPI_SetDeviceConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:915
229. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:915
230. XSPI_SetDeviceConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:919
231. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:919
232. XSPI_SetDeviceConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:925
233. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:924
234. XSPI_SetDeviceConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:929
235. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:929
236. XSPI_SetDeviceConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:933
237. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:932
238. XSPI_SetDeviceConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:948
239. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:948
240. XSPI_SetDeviceConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:950
241. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:950
242. XSPI_SetDeviceConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:952
243. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:952
244. XSPI_SetDeviceConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:956
245. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:956
246. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:961
247. XSPI_SetDeviceConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:964
248. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:973
249. XSPI_SetDeviceConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:975
250. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:975
251. XSPI_SetDeviceConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:979
252. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:979
253. XSPI_SetDeviceConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:984
254. XSPI_SetDeviceConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:984
255. XSPI_GetPPWBFromPageSize write XSPI2 MCR 0x40411000 fsl_xspi.c:184
256. XSPI_EnableVariableLatenc read XSPI2 MCR 0x40411000 fsl_xspi.h:1230
257. XSPI_EnableVariableLatenc write XSPI2 MCR 0x40411000 fsl_xspi.h:1230
258. XSPI_EnableVariableLatenc read XSPI2 MCR 0x40411000 fsl_xspi.h:1234
259. XSPI_EnableVariableLatenc write XSPI2 MCR 0x40411000 fsl_xspi.h:1234
260. XSPI_SetSFMStatusRegInfo read XSPI2 MCR 0x40411000 fsl_xspi.c:2616
261. XSPI_SetSFMStatusRegInfo read XSPI2 MCR 0x40411000 fsl_xspi.c:2623
262. XSPI_SetSFMStatusRegInfo write XSPI2 MCR 0x40411000 fsl_xspi.c:2630
263. XSPI_UpdateRxBufferWaterM write XSPI2 MCR 0x40411000 fsl_xspi.c:1035
264. XSPI_UpdateTxBufferWaterM write XSPI2 MCR 0x40411000 fsl_xspi.c:1064
265. XSPI_UpdateSFPConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:1130
266. XSPI_UpdateSFPConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:1130
267. XSPI_UpdateSFPConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:1152
268. XSPI_UpdateSFPConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:1152
269. XSPI_UpdateSFPConfig read XSPI2 MCR 0x40411000 fsl_xspi.c:1193
270. XSPI_UpdateSFPConfig write XSPI2 MCR 0x40411000 fsl_xspi.c:1193
271. XSPI_UpdateSFPArbitration write XSPI2 MCR 0x40411000 fsl_xspi.c:1239
272. XSPI_CheckGlobalConfigLoc read XSPI2 MCR 0x40411000 fsl_xspi.h:1184
273. XSPI_UpdateIPAccessTimeou write XSPI2 MCR 0x40411000 fsl_xspi.c:1265
274. XSPI_GetMdadErrorReason read XSPI2 MCR 0x40411000 fsl_xspi.c:1284
275. XSPI_GetMdadErrorReason read XSPI2 MCR 0x40411000 fsl_xspi.c:1288
276. XSPI_StartIpAccess read XSPI2 MCR 0x40411000 fsl_xspi.c:1368
277. XSPI_StartIpAccess read XSPI2 MCR 0x40411000 fsl_xspi.c:1371
278. XSPI_StartIpAccess read XSPI2 MCR 0x40411000 fsl_xspi.c:1382
279. XSPI_StartIpAccess read XSPI2 MCR 0x40411000 fsl_xspi.c:1398
280. XSPI_ClearErrorStatusFlag write XSPI2 MCR 0x40411000 fsl_xspi.h:1525
281. XSPI_CheckIpRequestGrante read XSPI2 MCR 0x40411000 fsl_xspi.h:1553
282. XSPI_StartIpAccessNonBloc read XSPI2 MCR 0x40411000 fsl_xspi.c:1441
283. XSPI_StartIpAccessNonBloc read XSPI2 MCR 0x40411000 fsl_xspi.c:1445
284. XSPI_StartIpAccessNonBloc read XSPI2 MCR 0x40411000 fsl_xspi.c:1478
285. XSPI_StartIpAccessNonBloc read XSPI2 MCR 0x40411000 fsl_xspi.c:1483
286. XSPI_EnableInterrupts read XSPI2 MCR 0x40411000 fsl_xspi.h:1417
287. XSPI_EnableInterrupts write XSPI2 MCR 0x40411000 fsl_xspi.h:1417
288. XSPI_EnableInterrupts read XSPI2 MCR 0x40411000 fsl_xspi.h:1418
